Code,State,Age,Both Sexes
44,RI,22,16481
44,RI,23,15540
44,RI,24,15868
44,RI,25-29,78482
44,RI,30-34,56458
44,RI,35-44,90410
44,RI,45-54,110573
44,RI,55-59,54158
44,RI,60-61,19378
44,RI,62-64M,12896
44,RI,62-64F,15458
44,RI,65+,117309
45,SC,0-2,137829
45,SC,3-4,97513
45,SC,5-13,476569
45,SC,14,59838
45,SC,15,60764
45,SC,16,60318
45,SC,17,61702
45,SC,18,64105
45,SC,19,68009
45,SC,20,64930
45,SC,21,63088
45,SC,22,59473
45,SC,23,56623
45,SC,24,56464
45,SC,25-29,255765
45,SC,30-34,194740
45,SC,35-44,311272
45,SC,45-54,297800
45,SC,55-59,137031
45,SC,60-61,45396
45,SC,62-64M,30714
45,SC,62-64F,37669
45,SC,65+,246043
46,SD,0-2,32129
46,SD,3-4,20853
46,SD,5-13,104530
46,SD,14,14627
46,SD,15,14952
46,SD,16,15009
46,SD,17,14608
46,SD,18,14405
46,SD,19,14936
46,SD,20,14190
46,SD,21,13214
46,SD,22,12573
46,SD,23,11719
46,SD,24,11705
46,SD,25-29,54397
46,SD,30-34,36494
46,SD,35-44,65367
46,SD,45-54,69716
46,SD,55-59,33633
46,SD,60-61,12469
46,SD,62-64M,8742
46,SD,62-64F,9491
46,SD,65+,86630
47,TN,0-2,186466
47,TN,3-4,131889
47,TN,5-13,667634
47,TN,14,83023
47,TN,15,84184
47,TN,16,83985
47,TN,17,83490
47,TN,18,83707
47,TN,19,86702
47,TN,20,82711
47,TN,21,80717
47,TN,22,77801
47,TN,23,73435
47,TN,24,76653
47,TN,25-29,375174
47,TN,30-34,287474
47,TN,35-44,474718
47,TN,45-54,464419
47,TN,55-59,211736
47,TN,60-61,74430
47,TN,62-64M,51651
47,TN,62-64F,61533
47,TN,65+,463397
48,TX,0-2,625199
48,TX,3-4,434860
48,TX,5-13,2074787
48,TX,14,256588
48,TX,15,260777
48,TX,16,255310
48,TX,17,254192
48,TX,18,259343
48,TX,19,271739
48,TX,20,263023
48,TX,21,254239
48,TX,22,251491
48,TX,23,246601
48,TX,24,239156
48,TX,25-29,1123443
48,TX,30-34,865424
48,TX,35-44,1373966
48,TX,45-54,1316236
48,TX,55-59,562883
48,TX,60-61,196252
48,TX,62-64M,137439
48,TX,62-64F,158994
48,TX,65+,1222150
49,UT,0-2,92796
49,UT,3-4,53901
49,UT,5-13,219912
49,UT,14,26387
49,UT,15,27213
49,UT,16,26416
49,UT,17,26514
49,UT,18,29259
49,UT,19,30017
49,UT,20,27965
49,UT,21,27989
49,UT,22,28112
49,UT,23,27313
49,UT,24,25340
49,UT,25-29,109703
49,UT,30-34,81263
49,UT,35-44,120690
49,UT,45-54,109402
49,UT,55-59,48454
49,UT,60-61,16874
49,UT,62-64M,11569
49,UT,62-64F,12557
49,UT,65+,95282
50,VT,0-2,20577
50,VT,3-4,14864
50,VT,5-13,78282
50,VT,14,9536
50,VT,15,9843
50,VT,16,9372
50,VT,17,9244
50,VT,18,11081
50,VT,19,10755
50,VT,20,9321
50,VT,21,9072
50,VT,22,8628
50,VT,23,8267
50,VT,24,7906
50,VT,25-29,43730
50,VT,30-34,32408
50,VT,35-44,48889
50,VT,45-54,47278
50,VT,55-59,22263
50,VT,60-61,7901
50,VT,62-64M,5486
50,VT,62-64F,6315
50,VT,65+,53910
51,VA,0-2,210395
51,VA,3-4,149082
51,VA,5-13,792681
51,VA,14,100217
51,VA,15,101061
51,VA,16,99472
51,VA,17,101969
51,VA,18,104204
51,VA,19,110806
51,VA,20,108816
51,VA,21,105500
51,VA,22,100327
51,VA,23,95729
51,VA,24,92619
51,VA,25-29,431680
51,VA,30-34,373949
51,VA,35-44,583380
51,VA,45-54,562166
51,VA,55-59,248065
51,VA,60-61,82933
51,VA,62-64M,54946
51,VA,62-64F,63667
51,VA,65+,448199
53,WA,0-2,153444
53,WA,3-4,103695
53,WA,5-13,572355
53,WA,14,70478
53,WA,15,72706
53,WA,16,70356
53,WA,17,70250
53,WA,18,70213
53,WA,19,73133
53,WA,20,71610
53,WA,21,69650
53,WA,22,69309
53,WA,23,69534
53,WA,24,68263
53,WA,25-29,335860
53,WA,30-34,268645
53,WA,35-44,387572
53,WA,45-54,380202
53,WA,55-59,180377
53,WA,60-61,64084
53,WA,62-64M,44089
53,WA,62-64F,47524
53,WA,65+,380261
54,WV,0-2,82782
54,WV,3-4,57522
54,WV,5-13,281600
54,WV,14,34576
54,WV,15,35477
54,WV,16,35549
54,WV,17,36050
54,WV,18,35326
54,WV,19,35598
54,WV,20,33257
54,WV,21,32455
54,WV,22,31931
54,WV,23,31033
54,WV,24,32742
54,WV,25-29,164457
54,WV,30-34,106777
54,WV,35-44,190705
54,WV,45-54,211208
54,WV,55-59,99469
54,WV,60-61,36818
54,WV,62-64M,24754
54,WV,62-64F,29045
54,WV,65+,220370
55,WI,0-2,193983
55,WI,3-4,131445
55,WI,5-13,743177
55,WI,14,95682
55,WI,15,98958
55,WI,16,95980
55,WI,17,95149
55,WI,18,93338
55,WI,19,93444
55,WI,20,88878
55,WI,21,84893
55,WI,22,82617
55,WI,23,79999
55,WI,24,81547
55,WI,25-29,377730
55,WI,30-34,283007
55,WI,35-44,456935
55,WI,45-54,471690
55,WI,55-59,220155
55,WI,60-61,83355
55,WI,62-64M,56257
55,WI,62-64F,63708
55,WI,65+,523978
56,WY,0-2,20624
56,WY,3-4,12937
56,WY,5-13,63275
56,WY,14,7931
56,WY,15,8049
56,WY,16,7969
56,WY,17,7836
56,WY,18,7764
56,WY,19,8318
56,WY,20,8120
56,WY,21,7906
56,WY,22,8252
56,WY,23,8115
56,WY,24,7941
56,WY,25-29,36142
56,WY,30-34,27433
56,WY,35-44,42692
56,WY,45-54,39816
56,WY,55-59,17017
56,WY,60-61,6023
56,WY,62-64M,4128
56,WY,62-64F,4340
56,WY,65+,34324
